iter	Passed	Remaining
450	1105	1345
451	1109	1345
452	1110	1341
453	1117	1343
454	1118	1339
455	1119	1335
456	1120	1331
457	1122	1328
458	1123	1324
459	1135	1332
460	1136	1328
461	1137	1324
462	1138	1320
463	1149	1327
464	1151	1324
465	1152	1320
466	1162	1327
467	1164	1323
468	1165	1319
469	1166	1315
470	1167	1311
471	1175	1315
472	1176	1311
473	1178	1307
474	1179	1303
475	1180	1299
476	1181	1295
477	1182	1291
478	1186	1290
479	1188	1287
480	1189	1283
481	1190	1279
482	1191	1275
483	1210	1290
484	1211	1286
485	1212	1282
486	1220	1285
487	1221	1281
488	1222	1277
489	1223	1273
490	1233	1278
491	1234	1274
492	1235	1270
493	1236	1266
494	1237	1262
495	1238	1258
496	1240	1255
497	1248	1258
498	1249	1254
499	1250	1250
500	1252	1247
501	1253	1243
502	1267	1251
503	1268	1248
504	1269	1244
505	1275	1245
506	1277	1241
507	1278	1238
508	1279	1234
509	1280	1230
510	1296	1240
511	1298	1238
512	1307	1241
513	1308	1237
514	1309	1233
515	1310	1229
516	1311	1225
517	1319	1228
518	1321	1224
519	1322	1220
520	1323	1216
521	1324	1212
522	1325	1208
523	1334	1212
524	1335	1208
525	1336	1204
526	1338	1200
527	1339	1197
528	1340	1193
529	1345	1193
530	1346	1189
531	1347	1185
532	1349	1182
533	1351	1179
534	1352	1175
535	1353	1171
536	1354	1168
537	1366	1173
538	1368	1170
539	1369	1166
540	1378	1169
541	1379	1165
542	1380	1161
543	1381	1158
544	1382	1154
545	1383	1150
546	1387	1148
547	1388	1145
548	1389	1141
549	1390	1137
550	1391	1134
551	1392	1130
552	1401	1133
553	1405	1131
554	1419	1137
555	1420	1134
556	1421	1130
557	1422	1126
558	1430	1128
559	1431	1124
560	1432	1120
561	1433	1117
562	1434	1113
563	1443	1116
564	1445	1112
565	1446	1109
566	1447	1105
567	1448	1101
568	1462	1107
569	1464	1104
570	1465	1101
571	1468	1098
572	1469	1095
573	1470	1091
574	1471	1087
575	1473	1084
576	1474	1081
577	1475	1077
578	1477	1073
579	1490	1079
580	1492	1076
581	1502	1079
582	1503	1075
583	1505	1072
584	1506	1068
585	1507	1064
586	1516	1066
587	1517	1063
588	1518	1059
589	1519	1056
590	1521	1052
591	1525	1051
592	1526	1047
593	1527	1044
594	1529	1040
595	1530	1037
596	1531	1033
597	1532	1030
598	1533	1026
599	1545	1030
600	1546	1027
601	1548	1023
602	1549	1019
603	1550	1016
604	1558	1017
605	1559	1014
606	1560	1010
607	1561	1006
608	1570	1008
609	1574	1006
610	1575	1002
611	1576	999
612	1593	1005
613	1601	1006
614	1602	1003
615	1603	999
616	1605	996
617	1616	998
618	1617	995
619	1618	992
620	1620	988
621	1632	991
622	1633	988
623	1634	985
624	1638	983
625	1639	979
626	1640	976
627	1642	972
628	1643	969
629	1646	966
630	1647	963
631	1648	960
632	1649	956
633	1651	953
634	1653	950
635	1657	948
636	1659	945
637	1660	942
638	1661	938
639	1663	935
640	1664	932
641	1665	928
642	1666	925
643	1667	921
644	1669	918
645	1670	915
646	1672	912
647	1693	920
648	1694	916
649	1694	916
650	1696	910
651	1697	907
652	1698	903
653	1708	905
654	1709	901
655	1710	898
656	1712	895
657	1713	891
658	1714	888
659	1723	888
660	1724	885
661	1725	882
662	1726	878
663	1728	875
664	1738	877
665	1739	873
666	1740	870
667	1741	867
668	1751	867
669	1752	864
670	1753	861
671	1754	857
672	1973	960
673	1974	956
674	1985	957
675	1986	953
676	2034	972
677	2046	973
678	2048	969
679	2049	965
680	2050	961
681	2059	961
682	2061	958
683	2062	954
684	2063	950
685	2064	946
686	2075	947
687	2077	943
688	2078	939
689	2079	935
690	2125	951
691	2137	952
692	2139	948
693	2140	945
694	2151	945
695	2152	941
696	2154	937
697	2155	933
698	2157	930
699	2158	926
700	2159	922
701	2161	918
702	2162	914
703	2163	910
704	2164	907
705	2165	903
706	2167	899
707	2168	895
708	2169	891
709	2170	887
710	2171	883
711	2172	880
712	2173	876
713	2183	875
714	2184	872
715	2185	868
716	2187	864
717	2188	860
718	2199	860
719	2200	857
720	2202	853
721	2207	851
722	2208	847
723	2209	843
724	2211	839
725	2212	836
726	2213	832
727	2214	828
728	2215	824
729	2216	820
730	2227	820
731	2228	817
732	2230	813
733	2240	813
734	2241	809
735	2242	805
736	2244	801
737	2251	800
738	2252	796
739	2253	792
740	2254	789
741	2255	785
742	2256	781
743	2264	780
744	2265	776
745	2266	772
746	2268	769
747	2269	765
748	2270	761
749	2271	758
750	2272	754
751	2287	755
752	2298	755
753	2299	751
754	2300	747
755	2302	744
756	2309	742
757	2310	738
758	2311	734
759	2312	731
760	2313	727
761	2314	723
762	2316	720
763	2320	717
764	2321	714
765	2322	710
766	2323	706
767	2324	703
768	2326	699
769	2327	696
770	2328	692
771	2329	688
772	2330	685
773	2338	683
774	2339	680
775	2340	676
776	2341	672
777	2342	669
778	2343	665
779	2345	662
780	2347	659
781	2348	655
782	2349	652
783	2350	648
784	2351	644
785	2352	641
786	2353	637
787	2354	634
788	2355	630
789	2356	627
790	2362	624
791	2363	621
792	2364	617
793	2365	614
794	2366	610
795	2368	607
796	2369	604
797	2383	604
798	2384	600
799	2393	599
800	2395	595
801	2396	592
802	2397	588
803	2398	585
804	2399	582
805	2404	579
806	2405	576
807	2406	572
808	2407	569
809	2408	565
810	2410	562
811	2416	560
812	2418	556
813	2419	553
814	2420	550
815	2421	546
816	2422	543
817	2423	539
818	2424	536
819	2427	533
820	2428	530
821	2429	526
822	2430	523
823	2432	520
824	2433	516
825	2434	513
826	2435	510
827	2436	506
828	2437	503
829	2441	500
830	2444	497
831	2445	494
832	2447	491
833	2448	487
834	2449	484
835	2455	482
836	2456	478
837	2457	475
838	2458	472
839	2459	469
840	2461	465
841	2462	462
842	2463	459
843	2473	457
844	2474	454
845	2476	451
846	2477	448
847	2478	444
848	2479	441
849	2480	438
850	2486	435
851	2487	432
852	2489	429
853	2490	426
854	2491	423
855	2494	420
856	2496	416
857	2497	413
858	2498	410
859	2500	407
860	2501	404
861	2502	401
862	2506	398
863	2507	395
864	2508	392
865	2510	388
866	2511	385
867	2512	382
868	2513	379
869	2514	376
870	2518	373
871	2519	370
872	2521	367
873	2522	364
874	2523	360
875	2524	357
876	2525	354
877	2532	352
878	2533	349
879	2534	346
880	2535	342
881	2537	339
882	2538	336
883	2539	333
884	2541	330
885	2542	327
886	2544	324
887	2545	321
888	2546	318
889	2548	315
890	2549	312
891	2550	309
892	2551	306
893	2553	303
894	2555	300
895	2556	297
896	2560	294
897	2561	291
898	2562	288
899	2563	285
900	2565	282
901	2566	279
902	2567	276
903	2568	273
904	2571	270
905	2577	267
906	2578	264
907	2580	261
908	2588	259
909	2589	256
910	2590	253
911	2604	251
912	2606	248
913	2610	245
914	2617	243
915	2618	240
916	2619	237
917	2620	234
918	2627	231
919	2628	228
920	2629	225
921	2630	222
922	2632	219
923	2633	216
924	2634	213
925	2635	210
926	2643	208
927	2645	205
928	2646	202
929	2647	199
930	2648	196
931	2650	193
932	2657	191
933	2658	188
934	2660	185
935	2661	182
936	2662	179
937	2669	176
938	2670	173
939	2688	171
940	2689	168
941	2690	165
942	2691	162
943	2693	159
944	2697	157
945	2698	154
946	2699	151
947	2701	148
948	2702	145
949	2708	142
950	2709	139
951	2710	136
952	2711	133
953	2712	130
954	2714	128
955	2715	125
956	2716	122
957	2717	119
958	2723	116
959	2726	113
960	2727	110
961	2728	107
962	2730	105
963	2731	102
964	2732	99
965	2740	96
966	2741	93
967	2742	90
968	2743	87
969	2744	84
970	2745	82
971	2746	79
972	2747	76
973	2748	73
974	2756	70
975	2760	67
976	2761	65
977	2763	62
978	2767	59
979	2768	56
980	2770	53
981	2771	50
982	2772	47
983	2773	45
984	2774	42
985	2775	39
986	2776	36
987	2778	33
988	2783	30
989	2784	28
990	2785	25
991	2786	22
992	2790	19
993	2791	16
994	2801	14
995	2803	11
996	2804	8
997	2805	5
998	2806	2
999	2808	0
